public_metrics,edit_history_tweet_ids,text,created_at,id,referenced_tweets,entities,attachments,like_count,retweet_count
"{'retweet_count': 9, 'reply_count': 3, 'like_count': 80, 'quote_count': 0, 'bookmark_count': 5, 'impression_count': 9575}",['1871146233831604588'],Big win for the #DeSci community! Let's keep it up! One step towards growing a stronger foundation for DeSci and spreading awareness about the important work that  is done by each project. https://t.co/o2eBi8z1lf,2024-12-23 10:50:01+00:00,1871146233831604588,"[{'type': 'quoted', 'id': '1871141508675407908'}]","{'urls': [{'start': 189, 'end': 212, 'url': 'https://t.co/o2eBi8z1lf', 'expanded_url': 'https://twitter.com/binance/status/1871141508675407908', 'display_url': 'x.com/binance/status…'}], 'hashtags': [{'start': 16, 'end': 22, 'tag': 'DeSci'}], 'annotations': [{'start': 17, 'end': 21, 'probability': 0.5103, 'type': 'Other', 'normalized_text': 'DeSci'}, {'start': 103, 'end': 107, 'probability': 0.7158, 'type': 'Other', 'normalized_text': 'DeSci'}]}",,80,9
"{'retweet_count': 18, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",['1870208452837982512'],"RT @YashasEdu: What happens when you give scientists the same tools as startups?🧬

@BinanceLabs just answered that question by backing @bio…",2024-12-20 20:43:36+00:00,1870208452837982512,"[{'type': 'retweeted', 'id': '1870099342721462557'}]","{'mentions': [{'start': 3, 'end': 13, 'username': 'YashasEdu', 'id': '1755848371204415488'}, {'start': 83, 'end': 95, 'username': 'BinanceLabs', 'id': '1852207540475498496'}]}",,0,18
"{'retweet_count': 5, 'reply_count': 1, 'like_count': 20, 'quote_count': 1, 'bookmark_count': 2, 'impression_count': 2336}",['1870085743709999326'],"If you have an iOS device you can now test our new brain health application xponetiq - access the beta here https://t.co/2Sl2P1LzLt

Let us know what you think, your feedback is important to us! Let's keep on building science 🧠",2024-12-20 12:36:00+00:00,1870085743709999326,,"{'urls': [{'start': 108, 'end': 131, 'url': 'https://t.co/2Sl2P1LzLt', 'expanded_url': 'https://short.xponetiq.com/cerebrum-public', 'display_url': 'short.xponetiq.com/cerebrum-public', 'images': [{'url': 'https://pbs.twimg.com/news_img/1869846410713280513/h4DI9JXj?format=png&name=orig', 'width': 1024, 'height': 1024}, {'url': 'https://pbs.twimg.com/news_img/1869846410713280513/h4DI9JXj?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Join the xponetiq beta', 'description': 'Available on iOS', 'unwound_url': 'https://testflight.apple.com/join/eGsn2zaE'}], 'annotations': [{'start': 15, 'end': 17, 'probability': 0.9846, 'type': 'Other', 'normalized_text': 'iOS'}, {'start': 76, 'end': 83, 'probability': 0.583, 'type': 'Other', 'normalized_text': 'xponetiq'}]}",,20,5
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 10, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1256}",['1870072760208437338'],Future of science in a nutshell 🧠 #DeSci https://t.co/rNuomchLOR,2024-12-20 11:44:24+00:00,1870072760208437338,"[{'type': 'quoted', 'id': '1869767343230116159'}]","{'urls': [{'start': 41, 'end': 64, 'url': 'https://t.co/rNuomchLOR', 'expanded_url': 'https://twitter.com/Molecule_dao/status/1869767343230116159', 'display_url': 'x.com/Molecule_dao/s…'}], 'hashtags': [{'start': 34, 'end': 40, 'tag': 'DeSci'}], 'annotations': [{'start': 35, 'end': 39, 'probability': 0.4099, 'type': 'Other', 'normalized_text': 'DeSci'}]}",,10,1
"{'retweet_count': 19, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",['1869347580351799472'],RT @paulkhls: accelerate biology accelerate life https://t.co/uVbSL4vGju,2024-12-18 11:42:48+00:00,1869347580351799472,"[{'type': 'retweeted', 'id': '1869176156504903772'}]","{'mentions': [{'start': 3, 'end': 12, 'username': 'paulkhls', 'id': '4811642364'}], 'urls': [{'start': 49, 'end': 72, 'url': 'https://t.co/uVbSL4vGju', 'expanded_url': 'https://x.com/paulkhls/status/1869176156504903772/video/1', 'display_url': 'pic.x.com/uVbSL4vGju', 'media_key': '13_1869176062254432256'}]}","{'media_source_tweet_id': ['1869176156504903772'], 'media_keys': ['13_1869176062254432256']}",0,19
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 7, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 141}",['1869347365402161464'],@welsharehealth Let's go! Super excited for this. 🧠,2024-12-18 11:41:57+00:00,1869347365402161464,"[{'type': 'replied_to', 'id': '1869031203958931823'}]","{'mentions': [{'start': 0, 'end': 15, 'username': 'welsharehealth', 'id': '1735984125796929536'}]}",,7,1
"{'retweet_count': 38, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",['1869347285102112810'],RT @welsharehealth: Who’s ready for the Closed Beta? 👀 https://t.co/pcCLDFuGfK,2024-12-18 11:41:38+00:00,1869347285102112810,"[{'type': 'retweeted', 'id': '1869031203958931823'}]","{'mentions': [{'start': 3, 'end': 18, 'username': 'welsharehealth', 'id': '1735984125796929536'}], 'urls': [{'start': 55, 'end': 78, 'url': 'https://t.co/pcCLDFuGfK', 'expanded_url': 'https://x.com/welsharehealth/status/1869031203958931823/photo/1', 'display_url': 'pic.x.com/pcCLDFuGfK', 'media_key': '16_1869031196677570560'}], 'annotations': [{'start': 40, 'end': 50, 'probability': 0.5539, 'type': 'Other', 'normalized_text': 'Closed Beta'}]}","{'media_source_tweet_id': ['1869031203958931823'], 'media_keys': ['16_1869031196677570560']}",0,38
"{'retweet_count': 9, 'reply_count': 2, 'like_count': 27, 'quote_count': 2, 'bookmark_count': 1, 'impression_count': 3720}","['1868970027174838769', '1868971472695472639']","Monthly DAO Report — November 2024 🧠 

The report covers the following:  
1⃣ NEURON Token Health Check
2⃣ Launch of Percepta IPT
3⃣ Product Development Updates
&amp; More...

Link to report - https://t.co/jj5wDdi8Lq https://t.co/Xl86gdEcO5",2024-12-17 10:48:17+00:00,1868971472695472639,,"{'urls': [{'start': 192, 'end': 215, 'url': 'https://t.co/jj5wDdi8Lq', 'expanded_url': 'https://pitch.com/v/cerebrumdao---november-2024-monthly-report-sjint8', 'display_url': 'pitch.com/v/cerebrumdao-…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1868970041313767425/GmUYTKoA?format=jpg&name=orig', 'width': 1200, 'height': 675}, {'url': 'https://pbs.twimg.com/news_img/1868970041313767425/GmUYTKoA?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'CerebrumDAO - November 2024 Monthly Report', 'unwound_url': 'https://pitch.com/v/cerebrumdao---november-2024-monthly-report-sjint8'}, {'start': 216, 'end': 239, 'url': 'https://t.co/Xl86gdEcO5', 'expanded_url': 'https://x.com/Cerebrum_DAO/status/1868971472695472639/photo/1', 'display_url': 'pic.x.com/Xl86gdEcO5', 'media_key': '3_1868969823671046144'}], 'annotations': [{'start': 77, 'end': 82, 'probability': 0.6027, 'type': 'Other', 'normalized_text': 'NEURON'}]}",{'media_keys': ['3_1868969823671046144']},27,9
"{'retweet_count': 3, 'reply_count': 0, 'like_count': 26, 'quote_count': 0, 'bookmark_count': 2, 'impression_count': 2142}",['1868211478106665214'],Lets make history $BIO is going liquid soon. 🧠 https://t.co/oJ0s0mCbZZ,2024-12-15 08:28:20+00:00,1868211478106665214,"[{'type': 'quoted', 'id': '1867635925880385826'}]","{'urls': [{'start': 47, 'end': 70, 'url': 'https://t.co/oJ0s0mCbZZ', 'expanded_url': 'https://twitter.com/BioProtocol/status/1867635925880385826', 'display_url': 'x.com/BioProtocol/st…'}], 'annotations': [{'start': 19, 'end': 21, 'probability': 0.8265, 'type': 'Organization', 'normalized_text': 'BIO'}], 'cashtags': [{'start': 18, 'end': 22, 'tag': 'BIO'}]}",,26,3
"{'retweet_count': 3, 'reply_count': 0, 'like_count': 18, 'quote_count': 0, 'bookmark_count': 1, 'impression_count': 1300}",['1868204624802648195'],"DeSci ecosystem is growing rapidly, what's coming next? https://t.co/JZuSC0iVBA",2024-12-15 08:01:06+00:00,1868204624802648195,"[{'type': 'quoted', 'id': '1867434283054641301'}]","{'urls': [{'start': 56, 'end': 79, 'url': 'https://t.co/JZuSC0iVBA', 'expanded_url': 'https://twitter.com/DWFVentures/status/1867434283054641301', 'display_url': 'x.com/DWFVentures/st…'}], 'annotations': [{'start': 0, 'end': 14, 'probability': 0.6698, 'type': 'Other', 'normalized_text': 'DeSci ecosystem'}]}",,18,3
"{'retweet_count': 3, 'reply_count': 0, 'like_count': 16, 'quote_count': 0, 'bookmark_count': 2, 'impression_count': 1355}",['1867578289109577993'],"The $CLAW(s) are out! 🧠💊

Check out the updates shared from @catalyst_xyz  with more to come soon. https://t.co/r40GnFm9iq",2024-12-13 14:32:16+00:00,1867578289109577993,"[{'type': 'quoted', 'id': '1867563162117320991'}]","{'mentions': [{'start': 60, 'end': 73, 'username': 'catalyst_xyz', 'id': '1803140992498810880'}], 'urls': [{'start': 99, 'end': 122, 'url': 'https://t.co/r40GnFm9iq', 'expanded_url': 'https://twitter.com/catalyst_xyz/status/1867563162117320991', 'display_url': 'x.com/catalyst_xyz/s…'}], 'annotations': [{'start': 5, 'end': 8, 'probability': 0.5098, 'type': 'Organization', 'normalized_text': 'CLAW'}], 'cashtags': [{'start': 4, 'end': 9, 'tag': 'CLAW'}]}",,16,3
"{'retweet_count': 2, 'reply_count': 0, 'like_count': 11, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 3391}",['1867550149549207647'],Set your reminder for the upcoming DeSci Discoveries spaces. 🧠 https://t.co/LwIiMy0pPw,2024-12-13 12:40:27+00:00,1867550149549207647,"[{'type': 'quoted', 'id': '1867477267795898548'}]","{'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/LwIiMy0pPw', 'expanded_url': 'https://twitter.com/wyzthofficial/status/1867477267795898548', 'display_url': 'x.com/wyzthofficial/…'}], 'annotations': [{'start': 35, 'end': 51, 'probability': 0.9226, 'type': 'Other', 'normalized_text': 'DeSci Discoveries'}]}",,11,2
"{'retweet_count': 3, 'reply_count': 0, 'like_count': 13, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1191}",['1867312591984636072'],Introducing an easy way to access $NEURON through @holyheld 🧠🚀 https://t.co/zamdACk0p6,2024-12-12 20:56:29+00:00,1867312591984636072,"[{'type': 'quoted', 'id': '1866925250581237809'}]","{'mentions': [{'start': 50, 'end': 59, 'username': 'holyheld', 'id': '1134415799962279941'}], 'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/zamdACk0p6', 'expanded_url': 'https://twitter.com/BioProtocol/status/1866925250581237809', 'display_url': 'x.com/BioProtocol/st…'}], 'annotations': [{'start': 35, 'end': 40, 'probability': 0.6784, 'type': 'Other', 'normalized_text': 'NEURON'}], 'cashtags': [{'start': 34, 'end': 41, 'tag': 'NEURON'}]}",,13,3
"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",['1866900662870741135'],RT @Cerebrum_DAO: The support we are getting from the community on the recent launch of Percepta IPT is amazing! We appreciate you all... 💜…,2024-12-11 17:39:38+00:00,1866900662870741135,"[{'type': 'retweeted', 'id': '1866805428601909372'}]","{'mentions': [{'start': 3, 'end': 16, 'username': 'Cerebrum_DAO', 'id': '1448253975980126209'}], 'annotations': [{'start': 88, 'end': 99, 'probability': 0.9076, 'type': 'Other', 'normalized_text': 'Percepta IPT'}]}",,0,5
"{'retweet_count': 5, 'reply_count': 1, 'like_count': 23, 'quote_count': 0, 'bookmark_count': 2, 'impression_count': 2158}",['1866805428601909372'],"The support we are getting from the community on the recent launch of Percepta IPT is amazing! We appreciate you all... 💜

Special thanks to @0xsimmo for putting this thread together. 🧠💊 $CLAW https://t.co/jJCU6qPHO4",2024-12-11 11:21:12+00:00,1866805428601909372,"[{'type': 'quoted', 'id': '1866801614897680789'}]","{'mentions': [{'start': 141, 'end': 149, 'username': '0xsimmo', 'id': '73338676'}], 'urls': [{'start': 193, 'end': 216, 'url': 'https://t.co/jJCU6qPHO4', 'expanded_url': 'https://twitter.com/0xsimmo/status/1866801614897680789', 'display_url': 'x.com/0xsimmo/status…'}], 'annotations': [{'start': 70, 'end': 81, 'probability': 0.9043, 'type': 'Other', 'normalized_text': 'Percepta IPT'}, {'start': 188, 'end': 191, 'probability': 0.3756, 'type': 'Other', 'normalized_text': 'CLAW'}], 'cashtags': [{'start': 187, 'end': 192, 'tag': 'CLAW'}]}",,23,5
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 8, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 865}",['1866796637835891169'],Well said 🧠 https://t.co/E6diYu3cxi,2024-12-11 10:46:16+00:00,1866796637835891169,"[{'type': 'quoted', 'id': '1866552564646367569'}]","{'urls': [{'start': 12, 'end': 35, 'url': 'https://t.co/E6diYu3cxi', 'expanded_url': 'https://twitter.com/sjdedic/status/1866552564646367569', 'display_url': 'x.com/sjdedic/status…'}]}",,8,0
"{'retweet_count': 2, 'reply_count': 0, 'like_count': 5, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 595}",['1866436094746570888'],"The next-gen platform designed to revolutionize your brain health. 🧠📱

Be among the FIRST to experience the future.

Register for the beta version today: https://t.co/Qpws1t6cNC",2024-12-10 10:53:36+00:00,1866436094746570888,,"{'urls': [{'start': 154, 'end': 177, 'url': 'https://t.co/Qpws1t6cNC', 'expanded_url': 'https://xponetiq.com/', 'display_url': 'xponetiq.com', 'images': [{'url': 'https://pbs.twimg.com/news_img/1887868924525453312/4fb-t77t?format=jpg&name=orig', 'width': 1929, 'height': 1743}, {'url': 'https://pbs.twimg.com/news_img/1887868924525453312/4fb-t77t?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'xponetiq · Better Brain, Better Life', 'description': 'Easily integrate brain-boosting habits into your daily routine. Backed by neuroscience to enhance your mental well-being.', 'unwound_url': 'https://xponetiq.com/'}]}",,5,2
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 10, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 877}",['1866430107255988550'],🧠 https://t.co/8o9tIK6wRA,2024-12-10 10:29:48+00:00,1866430107255988550,"[{'type': 'quoted', 'id': '1866384469260677393'}]","{'urls': [{'start': 2, 'end': 25, 'url': 'https://t.co/8o9tIK6wRA', 'expanded_url': 'https://twitter.com/Nature/status/1866384469260677393', 'display_url': 'x.com/Nature/status/…'}]}",,10,1
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 24}",['1866429714640060780'],@AMelhede @Nature Thanks for the tag Andreas.,2024-12-10 10:28:15+00:00,1866429714640060780,"[{'type': 'replied_to', 'id': '1866425938004578614'}]","{'mentions': [{'start': 0, 'end': 9, 'username': 'AMelhede', 'id': '1403991186248028160'}, {'start': 10, 'end': 17, 'username': 'Nature', 'id': '15862891'}], 'annotations': [{'start': 37, 'end': 43, 'probability': 0.7106, 'type': 'Person', 'normalized_text': 'Andreas'}]}",,1,0
"{'retweet_count': 6, 'reply_count': 3, 'like_count': 37, 'quote_count': 1, 'bookmark_count': 8, 'impression_count': 4004}",['1865762877077885058'],"Building never stops, thanks to everyone that supports our vision in bringing change to Neuroscience through DeSci.

We are sharing the roadmap for NEURON-Percepta as we move towards 2025. Learn more here - https://t.co/0vgfCttsL8

$CLAW $NEURON 🧠 https://t.co/tFSEWyU4Hd",2024-12-08 14:18:28+00:00,1865762877077885058,,"{'urls': [{'start': 207, 'end': 230, 'url': 'https://t.co/0vgfCttsL8', 'expanded_url': 'https://catalyst.molecule.xyz/projects/37627217292950168582806594751056837508226390515778803553953686081711504531171', 'display_url': 'catalyst.molecule.xyz/projects/37627…', 'status': 200, 'title': 'Boosting the Brain - Developing Percepta® with Cat’s Claw from the Amazon Rain Forest | Molecule Catalyst', 'description': 'Discover and fund the best projects in DeSci', 'unwound_url': 'https://catalyst.molecule.xyz/projects/37627217292950168582806594751056837508226390515778803553953686081711504531171'}, {'start': 248, 'end': 271, 'url': 'https://t.co/tFSEWyU4Hd', 'expanded_url': 'https://x.com/Cerebrum_DAO/status/1865762877077885058/photo/1', 'display_url': 'pic.x.com/tFSEWyU4Hd', 'media_key': '3_1865761800156778496'}], 'annotations': [{'start': 109, 'end': 113, 'probability': 0.6358, 'type': 'Other', 'normalized_text': 'DeSci'}, {'start': 148, 'end': 153, 'probability': 0.6152, 'type': 'Other', 'normalized_text': 'NEURON'}, {'start': 233, 'end': 236, 'probability': 0.4463, 'type': 'Other', 'normalized_text': 'CLAW'}, {'start': 239, 'end': 244, 'probability': 0.5164, 'type': 'Other', 'normalized_text': 'NEURON'}], 'cashtags': [{'start': 232, 'end': 237, 'tag': 'CLAW'}, {'start': 238, 'end': 245, 'tag': 'NEURON'}]}",{'media_keys': ['3_1865761800156778496']},37,6
"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",['1865105258969481350'],"RT @catalyst_xyz: 🚨 $CLAW is ready to claim! 🚨

By owning Percepta tokens ($CLAW), you support @melnykowycz &amp; @Cerebrum_DAO as they develop…",2024-12-06 18:45:20+00:00,1865105258969481350,"[{'type': 'retweeted', 'id': '1865100571939868893'}]","{'mentions': [{'start': 3, 'end': 16, 'username': 'catalyst_xyz', 'id': '1803140992498810880'}, {'start': 95, 'end': 107, 'username': 'melnykowycz', 'id': '16837215'}, {'start': 114, 'end': 127, 'username': 'Cerebrum_DAO', 'id': '1448253975980126209'}], 'annotations': [{'start': 21, 'end': 24, 'probability': 0.4388, 'type': 'Organization', 'normalized_text': 'CLAW'}, {'start': 58, 'end': 65, 'probability': 0.5553, 'type': 'Other', 'normalized_text': 'Percepta'}, {'start': 76, 'end': 79, 'probability': 0.4583, 'type': 'Organization', 'normalized_text': 'CLAW'}], 'cashtags': [{'start': 20, 'end': 25, 'tag': 'CLAW'}]}",,0,6
"{'retweet_count': 3, 'reply_count': 5, 'like_count': 23, 'quote_count': 0, 'bookmark_count': 1, 'impression_count': 2291}",['1865104749218906334'],"Major milestone achieved! 🎉🎉

Percepta IPT (NEURON-Percepta) $CLAW is now claimable from Catalyst if you took part in the sale.

https://t.co/0vgfCttsL8",2024-12-06 18:43:18+00:00,1865104749218906334,,"{'urls': [{'start': 129, 'end': 152, 'url': 'https://t.co/0vgfCttsL8', 'expanded_url': 'https://catalyst.molecule.xyz/projects/37627217292950168582806594751056837508226390515778803553953686081711504531171', 'display_url': 'catalyst.molecule.xyz/projects/37627…', 'status': 200, 'title': 'Boosting the Brain - Developing Percepta® with Cat’s Claw from the Amazon Rain Forest | Molecule Catalyst', 'description': 'Discover and fund the best projects in DeSci', 'unwound_url': 'https://catalyst.molecule.xyz/projects/37627217292950168582806594751056837508226390515778803553953686081711504531171'}], 'annotations': [{'start': 62, 'end': 65, 'probability': 0.5017, 'type': 'Organization', 'normalized_text': 'CLAW'}], 'cashtags': [{'start': 61, 'end': 66, 'tag': 'CLAW'}]}",,23,3
